Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,486761597,6244.904440554453,10064712,129.12515089332658,1391813,6142735,78.80817491575708,31052,0.3983814127557337,4367,
United States of America,Americas,79342899,23970.472,203635,61.521,50317,972830,293.904,4683,1.415,1261
India,South-East Asia,43025775,3117.8,9403,0.681,1335,521181,37.767,4426,0.321,52
Brazil,Americas,29916334,14074.34,186343,87.666,33937,659504,310.268,1506,0.709,263
France,Europe,24864733,38230.286,961186,1477.853,167760,139089,213.854,816,1.255,138
Germany,Europe,21357039,25679.793,1464011,1760.333,252530,129695,155.946,1585,1.906,304
The United Kingdom,Europe,21147429,31151.383,479881,706.892,35968,165379,243.613,751,1.106,17
Russian Federation,Europe,17862089,12239.802,146699,100.524,19164,369064,252.897,2446,1.676,342
Turkey,Europe,14860560,17620.019,100229,118.841,14336,98033,116.237,435,0.516,56
Italy,Europe,14642354,24550.618,489256,820.328,73195,159383,267.235,947,1.588,159
Republic of Korea,Western Pacific,13375818,26089.391,2213586,4317.576,280273,16590,32.359,2296,4.478,360
Spain,Europe,11532099,24363.96,50802,107.33,0,102319,216.17,86,0.182,0
Viet Nam,Western Pacific,9564609,9826.124,964858,991.239,92355,42493,43.655,348,0.358,39
Argentina,Americas,9035127,19991.088,13887,30.726,0,127997,283.206,217,0.48,0
Netherlands,Europe,7859274,45148.56,193625,1112.302,25467,21987,126.307,136,0.781,26
Iran (Islamic Republic of),Eastern Mediterranean,7162220,8527.168,16343,19.458,2487,140204,166.924,339,0.404,46
Japan,Western Pacific,6552920,5181.138,314041,248.3,48047,28097,22.215,612,0.484,87
Colombia,Americas,6084551,11957.951,2325,4.569,311,139607,274.369,99,0.195,12
Indonesia,South-East Asia,6015748,2199.352,24061,8.797,2930,155164,56.728,701,0.256,75
Poland,Europe,5966970,15719.87,33863,89.211,4039,115247,303.616,511,1.346,74
Mexico,Americas,5657077,4387.618,4158,3.225,0,322948,250.478,81,0.063,0
Ukraine,Europe,4968881,11361.66,15968,36.512,2081,107980,246.903,169,0.386,23
Australia,Western Pacific,4326841,16968.081,395888,1552.509,59628,5994,23.506,170,0.667,32
Malaysia,Western Pacific,4201919,12982.51,122677,379.03,18560,34983,108.086,319,0.986,44
Israel,Europe,3919831,45286.955,89712,1036.469,10665,10485,121.136,14,0.162,0
Austria,Europe,3880270,43593.328,207523,2331.44,26451,15745,176.889,191,2.146,23
Belgium,Europe,3851048,33422.157,59954,520.324,21,30826,267.53,135,1.172,5
Czechia,Europe,3822035,35740.198,44913,419.986,6495,39692,371.164,157,1.468,7
South Africa,Africa,3718953,6270.503,9744,16.429,1886,100032,168.663,100,0.169,12
Philippines,Western Pacific,3678245,3356.642,2424,2.212,327,59249,54.069,478,0.436,124
Thailand,South-East Asia,3656726,5238.864,179696,257.444,28379,25222,36.135,574,0.822,92
Portugal,Europe,3599554,34961.012,67027,651.006,10754,21716,210.919,158,1.535,20
Peru,Americas,3546696,10756.738,3517,10.667,613,212207,643.6,226,0.685,28
Switzerland,Europe,3481127,40222.769,72236,834.653,21,12997,150.174,44,0.508,0
Canada,Americas,3472041,9199.372,47914,126.951,6880,37571,99.547,239,0.633,34
Chile,Americas,3470936,18157.039,44789,234.299,6511,56580,295.979,433,2.265,113
Denmark,Europe,3058773,52531.298,29551,507.508,3931,5698,97.857,163,2.799,9
Greece,Europe,3030429,28272.712,146329,1365.192,21096,27510,256.657,385,3.592,56
Romania,Europe,2853570,14763.278,21546,111.471,2972,65015,336.363,189,0.978,21
Sweden,Europe,2487852,24089.378,6132,59.375,1069,18365,177.825,53,0.513,1
Iraq,Eastern Mediterranean,2319550,5766.798,2422,6.022,341,25164,62.562,26,0.065,1
Serbia,Europe,1976567,28535.458,12438,179.566,1915,15799,228.088,72,1.039,11
Bangladesh,South-East Asia,1951577,1185.005,403,0.245,0,29122,17.683,4,0.002,0
Hungary,Europe,1854198,18979.406,14840,151.901,2327,45510,465.836,252,2.579,40
Slovakia,Europe,1716638,31452.509,42052,770.483,5754,19368,354.864,139,2.547,16
Jordan,Eastern Mediterranean,1692485,16587.893,3171,31.079,0,14031,137.517,28,0.274,0
Georgia,Europe,1648653,41328.169,3352,84.027,407,16748,419.836,50,1.253,3
Pakistan,Eastern Mediterranean,1524793,690.288,1721,0.779,244,30355,13.742,22,0.01,6
Ireland,Europe,1459425,29397.576,45876,924.092,5252,6753,136.027,65,1.309,13
Norway,Europe,1404206,26160.877,11807,219.969,922,2518,46.911,179,3.335,0
Kazakhstan,Europe,1393820,7423.133,274,1.459,34,19012,101.253,4,0.021,1
Morocco,Eastern Mediterranean,1163214,3151.44,450,1.219,0,16060,43.511,4,0.011,0
Bulgaria,Europe,1138923,16383.888,7858,113.041,1143,36529,525.485,133,1.913,17
Croatia,Europe,1099176,27085.542,9480,233.603,1767,15575,383.794,90,2.218,12
Singapore,Western Pacific,1096428,18741.263,43289,739.94,5605,1268,21.674,42,0.718,5
Lebanon,Eastern Mediterranean,1091777,15995.69,1947,28.526,0,10296,150.847,29,0.425,0
Cuba,Americas,1090285,9625.867,5717,50.474,833,8510,75.133,2,0.018,0
Tunisia,Eastern Mediterranean,1035884,8764.848,2153,18.217,0,28323,239.647,158,1.337,0
Lithuania,Europe,1027432,36771.614,17455,624.711,2494,8888,318.1,79,2.827,7
Nepal,South-East Asia,978442,3358.096,133,0.456,16,11951,41.017,0,0,0
Slovenia,Europe,968109,46191.47,18295,872.911,2721,7404,353.268,16,0.763,0
Belarus,Europe,962707,10188.108,7107,75.212,1318,6819,72.164,60,0.635,9
Mongolia,Western Pacific,918867,28028.85,1135,34.622,0,2108,64.302,0,0,0
China,Western Pacific,909723,61.832,35779,2.432,4925,13316,0.905,1055,0.072,119
Bolivia (Plurinational State of),Americas,901943,7726.732,1386,11.874,0,21894,187.561,410,3.512,0
United Arab Emirates,Eastern Mediterranean,891300,9011.767,2192,22.163,313,2302,23.275,0,0,0
Finland,Europe,889626,16100.977,37632,681.086,2455,3178,57.517,6,0.109,1
Uruguay,Americas,887028,25535.318,7410,213.315,1048,7156,206.003,12,0.345,0
Ecuador,Americas,859890,4873.816,4576,25.937,0,35421,200.765,8,0.045,0
Costa Rica,Americas,837828,16446.969,4862,95.443,742,8298,162.894,37,0.726,10
Guatemala,Americas,827596,4619.424,7119,39.736,1535,17300,96.564,42,0.234,5
Latvia,Europe,798895,41877.94,14740,772.668,2005,5601,293.603,57,2.988,8
Azerbaijan,Europe,791932,7810.616,328,3.235,56,9692,95.59,20,0.197,1
Panama,Americas,764243,17712.266,2235,51.799,310,8168,189.303,9,0.209,0
Saudi Arabia,Eastern Mediterranean,750814,2156.652,734,2.108,107,9045,25.981,11,0.032,2
New Zealand,Western Pacific,671254,13919.983,99300,2059.212,13524,314,6.512,113,2.343,15
Sri Lanka,South-East Asia,661631,3089.821,998,4.661,0,16477,76.948,25,0.117,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,655750,12854.279,282,5.528,0,5655,110.852,6,0.118,0
Paraguay,Americas,647905,9083.793,367,5.145,0,18664,261.674,58,0.813,0
Kuwait,Eastern Mediterranean,628978,14728.194,848,19.857,0,2554,59.805,1,0.023,0
Myanmar,South-East Asia,611587,1124.038,1094,2.011,0,19430,35.71,2,0.004,0
Dominican Republic,Americas,578020,5328.4,439,4.047,0,4375,40.33,0,0,0
Estonia,Europe,557314,41935.596,7525,566.225,1012,2463,185.331,34,2.558,8
Bahrain,Eastern Mediterranean,553750,32543.379,4884,287.028,0,1470,86.391,4,0.235,0
Venezuela (Bolivarian Republic of),Americas,520373,1829.983,501,1.762,69,5682,19.982,9,0.032,1
Republic of Moldova,Europe,513757,12735.789,1710,42.39,315,11435,283.468,26,0.645,4
Egypt,Eastern Mediterranean,505264,493.738,4375,4.275,0,24417,23.86,56,0.055,0
Libya,Eastern Mediterranean,501705,7301.465,326,4.744,48,6415,93.359,23,0.335,2
Puerto Rico,Americas,480576,16798.347,2291,80.081,495,4170,145.761,11,0.385,4
Ethiopia,Africa,469758,408.615,214,0.186,54,7497,6.521,6,0.005,5
Cyprus,Europe,430726,48504.907,33521,3774.866,4349,935,105.292,13,1.464,2
Armenia,Europe,422540,14259.421,117,3.948,21,8616,290.763,9,0.304,3
Honduras,Americas,421062,4251.173,2270,22.919,49,10880,109.848,11,0.111,0
Oman,Eastern Mediterranean,388343,7604.688,421,8.244,64,4250,83.225,0,0,0
Bosnia and Herzegovina,Europe,375440,11443.498,744,22.677,108,15713,478.936,18,0.549,3
Qatar,Eastern Mediterranean,361415,12544.545,918,31.863,132,677,23.498,0,0,0
Réunion,Africa,336945,37634.367,9756,1089.676,0,709,79.19,7,0.782,0
Kenya,Africa,323423,601.479,90,0.167,21,5648,10.504,1,0.002,0
Zambia,Africa,316850,1723.514,538,2.926,300,3966,21.573,1,0.005,0
North Macedonia,Europe,305979,14686.663,1654,79.39,262,9221,442.598,28,1.344,1
Albania,Europe,273677,9509.938,420,14.594,69,3492,121.343,3,0.104,0
Algeria,Africa,265671,605.849,72,0.164,9,6874,15.676,1,0.002,0
Botswana,Africa,263950,11224.144,0,0,0,2619,111.37,0,0,0
Nigeria,Africa,255415,123.904,171,0.083,0,3142,1.524,0,0,0
Zimbabwe,Africa,246286,1657.049,819,5.51,104,5444,36.628,10,0.067,4
Uzbekistan,Europe,237787,710.465,245,0.732,38,1637,4.891,0,0,0
Montenegro,Europe,233097,37113.693,533,84.864,91,2702,430.212,6,0.955,2
Kosovo[1],Europe,227428,12665.384,206,11.472,32,3124,173.974,4,0.223,2
Mozambique,Africa,225256,720.694,33,0.106,7,2200,7.039,0,0,0
Luxembourg,Europe,215831,34471.848,9754,1557.878,1732,1036,165.467,12,1.917,1
Mauritius,Africa,210343,16539.416,2595,204.047,0,968,76.115,0,0,0
Kyrgyzstan,Europe,200946,3080.014,89,1.364,11,2989,45.814,6,0.092,1
Iceland,Europe,181391,49814.354,3906,1072.682,441,101,27.737,4,1.098,3
Afghanistan,Eastern Mediterranean,177747,456.6,356,0.915,53,7670,19.703,12,0.031,5
Maldives,South-East Asia,177000,32744.79,178,32.93,0,298,55.13,1,0.185,0
